time	temperature
1.865217	17.687
3.785169	17.875
5.705273	18.5
7.625286	20.25
9.545191	22.312
11.465288	23.312
13.385293	24.0
15.305289	24.687
17.225184	25.562
19.145328	26.312
21.065268	27.0
22.985244	27.562
24.905299	28.0
26.825309	28.437
28.745286	28.812
30.665299	29.125
32.58531	29.437
34.505347	29.75
36.42528	30.0
38.348727	30.25
40.265286	30.562
42.185315	30.812
44.10517	31.0
46.02529	31.187
47.945291	31.375
49.865167	31.562
51.785169	31.687
53.705316	31.875
55.625272	32.0
57.5452	32.125
59.465287	32.25
61.385316	32.312
